日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20210430,7674,ＮＡＴＴＹ　ＳＷＡＮＫＹ,マザーズ（内国株）,6100,小売業,14,小売 ,,
20210430,7676,グッドスピード,マザーズ（内国株）,6100,小売業,14,小売 ,,
20210430,7677,ヤシマキザイ,市場第二部（内国株）,6050,卸売業,13,商社・卸売 ,,
20210430,7678,あさくま,JASDAQ(スタンダード・内国株）,6100,小売業,14,小売 ,,
20210430,7679,薬王堂ホールディングス,市場第一部（内国株）,6100,小売業,14,小売 ,7,TOPIX Small 2
20210430,7680,軽自動車館,PRO Market,6100,小売業,14,小売 ,,
20210430,7681,レオクラン,市場第二部（内国株）,6050,卸売業,13,商社・卸売 ,,
20210430,7682,浜木綿,JASDAQ(スタンダード・内国株）,6100,小売業,14,小売 ,,
20210430,7683,ダブルエー,マザーズ（内国株）,6100,小売業,14,小売 ,,
20210430,7685,ＢｕｙＳｅｌｌ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,マザーズ（内国株）,6050,卸売業,13,商社・卸売 ,,
20210430,7686,カクヤスグループ,市場第二部（内国株）,6050,卸売業,13,商社・卸売 ,,
20210430,7687,ミクリード,マザーズ（内国株）,6050,卸売業,13,商社・卸売 ,,
20210430,7688,ミアヘルサ,JASDAQ(スタンダード・内国株）,6100,小売業,14,小売 ,,
20210430,7689,コパ・コーポレーション,マザーズ（内国株）,6050,卸売業,13,商社・卸売 ,,
20210430,7690,カレント自動車,PRO Market,6050,卸売業,13,商社・卸売 ,,
20210430,7691,Ｃ　Ｃｈａｎｎｅｌ,PRO Market,6100,小売業,14,小売 ,,
20210430,7692,アースインフィニティ,JASDAQ(スタンダード・内国株）,6100,小売業,14,小売 ,,
20210430,7693,北海道歯科産業,PRO Market,6050,卸売業,13,商社・卸売 ,,
20210430,7694,いつも,マザーズ（内国株）,6100,小売業,14,小売 ,,
20210430,7695,交換できるくん,マザーズ（内国株）,6100,小売業,14,小売 ,,
20210430,7697,ＲＥＸＴ,JASDAQ(スタンダード・内国株）,6100,小売業,14,小売 ,,
20210430,7698,アイスコ,JASDAQ(スタンダード・内国株）,6050,卸売業,13,商社・卸売 ,,
20210430,7701,島津製作所,市場第一部（内国株）,3750,精密機器,9,電機・精密 ,4,TOPIX Mid400
20210430,7702,ＪＭＳ,市場第一部（内国株）,3750,精密機器,9,電機・精密 ,7,TOPIX Small 2
20210430,7705,ジーエルサイエンス,市場第二部（内国株）,3750,精密機器,9,電機・精密 ,,
20210430,7707,プレシジョン・システム・サイエンス,マザーズ（内国株）,3750,精密機器,9,電機・精密 ,,
20210430,7709,クボテック,市場第一部（内国株）,3750,精密機器,9,電機・精密 ,7,TOPIX Small 2
20210430,7711,助川電気工業,JASDAQ(スタンダード・内国株）,3750,精密機器,9,電機・精密 ,,
20210430,7713,シグマ光機,JASDAQ(スタンダード・内国株）,3750,精密機器,9,電機・精密 ,,
20210430,7715,長野計器,市場第一部（内国株）,3750,精密機器,9,電機・精密 ,7,TOPIX Small 2
20210430,7716,ナカニシ,JASDAQ(スタンダード・内国株）,3750,精密機器,9,電機・精密 ,,
20210430,7717,ブイ・テクノロジー,市場第一部（内国株）,3750,精密機器,9,電機・精密 ,6,TOPIX Small 1
20210430,7718,スター精密,市場第一部（内国株）,3600,機械,8,機械 ,6,TOPIX Small 1
20210430,7719,東京衡機,市場第二部（内国株）,3750,精密機器,9,電機・精密 ,,
20210430,7721,東京計器,市場第一部（内国株）,3750,精密機器,9,電機・精密 ,7,TOPIX Small 2
20210430,7722,国際計測器,JASDAQ(スタンダード・内国株）,3750,精密機器,9,電機・精密 ,,
20210430,7723,愛知時計電機,市場第一部（内国株）,3750,精密機器,9,電機・精密 ,7,TOPIX Small 2
20210430,7725,インターアクション,市場第一部（内国株）,3750,精密機器,9,電機・精密 ,7,TOPIX Small 2
20210430,7726,黒田精工,市場第二部（内国株）,3600,機械,8,機械 ,,
20210430,7727,オーバル,市場第一部（内国株）,3750,精密機器,9,電機・精密 ,7,TOPIX Small 2
20210430,7729,東京精密,市場第一部（内国株）,3750,精密機器,9,電機・精密 ,6,TOPIX Small 1
20210430,7730,マニー,市場第一部（内国株）,3750,精密機器,9,電機・精密 ,4,TOPIX Mid400
20210430,7731,ニコン,市場第一部（内国株）,3750,精密機器,9,電機・精密 ,4,TOPIX Mid400
20210430,7732,トプコン,市場第一部（内国株）,3750,精密機器,9,電機・精密 ,4,TOPIX Mid400
20210430,7733,オリンパス,市場第一部（内国株）,3750,精密機器,9,電機・精密 ,2,TOPIX Large70
20210430,7734,理研計器,市場第一部（内国株）,3750,精密機器,9,電機・精密 ,7,TOPIX Small 2
20210430,7735,ＳＣＲＥＥＮホールディングス,市場第一部（内国株）,3650,電気機器,9,電機・精密 ,4,TOPIX Mid400
20210430,7739,キヤノン電子,市場第一部（内国株）,3650,電気機器,9,電機・精密 ,6,TOPIX Small 1
20210430,7740,タムロン,市場第一部（内国株）,3750,精密機器,9,電機・精密 ,6,TOPIX Small 1
20210430,7741,ＨＯＹＡ,市場第一部（内国株）,3750,精密機器,9,電機・精密 ,1,TOPIX Core30
20210430,7743,シード,市場第一部（内国株）,3750,精密機器,9,電機・精密 ,7,TOPIX Small 2
20210430,7744,ノーリツ鋼機,市場第一部（内国株）,3750,精密機器,9,電機・精密 ,6,TOPIX Small 1
20210430,7745,エー・アンド・デイ,市場第一部（内国株）,3750,精密機器,9,電機・精密 ,7,TOPIX Small 2
20210430,7746,岡本硝子,JASDAQ(スタンダード・内国株）,3750,精密機器,9,電機・精密 ,,
20210430,7747,朝日インテック,市場第一部（内国株）,3750,精密機器,9,電機・精密 ,4,TOPIX Mid400
20210430,7748,ホロン,JASDAQ(スタンダード・内国株）,3750,精密機器,9,電機・精密 ,,
20210430,7749,メディキット,JASDAQ(スタンダード・内国株）,3750,精密機器,9,電機・精密 ,,
20210430,7751,キヤノン,市場第一部（内国株）,3650,電気機器,9,電機・精密 ,2,TOPIX Large70
20210430,7752,リコー,市場第一部（内国株）,3650,電気機器,9,電機・精密 ,4,TOPIX Mid400
20210430,7758,セコニック,市場第二部（内国株）,3600,機械,8,機械 ,,
20210430,7760,ＩＭＶ,JASDAQ(スタンダード・内国株）,3750,精密機器,9,電機・精密 ,,
20210430,7762,シチズン時計,市場第一部（内国株）,3750,精密機器,9,電機・精密 ,6,TOPIX Small 1
20210430,7769,リズム,市場第一部（内国株）,3750,精密機器,9,電機・精密 ,7,TOPIX Small 2
20210430,7771,日本精密,JASDAQ(スタンダード・内国株）,3750,精密機器,9,電機・精密 ,,
20210430,7774,ジャパン・ティッシュ・エンジニアリング,JASDAQ(グロース・内国株）,3750,精密機器,9,電機・精密 ,,
20210430,7775,大研医器,市場第一部（内国株）,3750,精密機器,9,電機・精密 ,7,TOPIX Small 2
20210430,7776,セルシード,JASDAQ(グロース・内国株）,3750,精密機器,9,電機・精密 ,,
20210430,7777,スリー・ディー・マトリックス,JASDAQ(グロース・内国株）,3750,精密機器,9,電機・精密 ,,
20210430,7779,ＣＹＢＥＲＤＹＮＥ,マザーズ（内国株）,3750,精密機器,9,電機・精密 ,,
20210430,7780,メニコン,市場第一部（内国株）,3750,精密機器,9,電機・精密 ,4,TOPIX Mid400
20210430,7781,平山ホールディングス,JASDAQ(スタンダード・内国株）,3750,精密機器,9,電機・精密 ,,
20210430,7782,シンシア,市場第一部（内国株）,3750,精密機器,9,電機・精密 ,7,TOPIX Small 2
20210430,7790,バルコス,PRO Market,3800,その他製品,10,情報通信・サービスその他 ,,
20210430,7800,アミファ,JASDAQ(スタンダード・内国株）,3800,その他製品,10,情報通信・サービスその他 ,,
20210430,7803,ブシロード,マザーズ（内国株）,3800,その他製品,10,情報通信・サービスその他 ,,
20210430,7804,ビーアンドピー,マザーズ（内国株）,3800,その他製品,10,情報通信・サービスその他 ,,
20210430,7805,プリントネット,JASDAQ(スタンダード・内国株）,3800,その他製品,10,情報通信・サービスその他 ,,
20210430,7806,ＭＴＧ,マザーズ（内国株）,3800,その他製品,10,情報通信・サービスその他 ,,
20210430,7807,幸和製作所,JASDAQ(スタンダード・内国株）,3800,その他製品,10,情報通信・サービスその他 ,,
20210430,7808,シー・エス・ランバー,JASDAQ(スタンダード・内国株）,3800,その他製品,10,情報通信・サービスその他 ,,
20210430,7809,壽屋,JASDAQ(スタンダード・内国株）,3800,その他製品,10,情報通信・サービスその他 ,,
20210430,7810,クロスフォー,JASDAQ(スタンダード・内国株）,3800,その他製品,10,情報通信・サービスその他 ,,
20210430,7811,中本パックス,市場第一部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,7,TOPIX Small 2
20210430,7812,クレステック,市場第二部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,,
20210430,7813,プラッツ,マザーズ（内国株）,3800,その他製品,10,情報通信・サービスその他 ,,
20210430,7814,日本創発グループ,JASDAQ(スタンダード・内国株）,3800,その他製品,10,情報通信・サービスその他 ,,
20210430,7815,東京ボード工業,市場第二部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,,
20210430,7816,スノーピーク,市場第一部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,7,TOPIX Small 2
20210430,7817,パラマウントベッドホールディングス,市場第一部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,6,TOPIX Small 1
20210430,7818,トランザクション,市場第一部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,7,TOPIX Small 2
20210430,7819,粧美堂,市場第一部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,7,TOPIX Small 2
20210430,7820,ニホンフラッシュ,市場第一部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,6,TOPIX Small 1
20210430,7821,前田工繊,市場第一部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,6,TOPIX Small 1
20210430,7822,永大産業,市場第一部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,7,TOPIX Small 2
20210430,7823,アートネイチャー,市場第一部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,7,TOPIX Small 2
20210430,7826,フルヤ金属,JASDAQ(スタンダード・内国株）,3800,その他製品,10,情報通信・サービスその他 ,,
20210430,7827,オービス,JASDAQ(スタンダード・内国株）,3800,その他製品,10,情報通信・サービスその他 ,,
20210430,7829,サマンサタバサジャパンリミテッド,マザーズ（内国株）,3800,その他製品,10,情報通信・サービスその他 ,,
20210430,7831,ウイルコホールディングス,市場第二部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,,
20210430,7832,バンダイナムコホールディングス,市場第一部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,2,TOPIX Large70
20210430,7833,アイフィスジャパン,市場第一部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,7,TOPIX Small 2
